Receitas com Empréstimo;5316408,177;5020283,54;-0,055700132;4509903,12;0,113168821
Receitas com aplicações;1034961,662;1169289,35;0,129790014;861315,78;0,357561741
Outras Receitas Operacionais;237500,01;430765,18;0,81374805;284890,88;0,512035696
Despesas com Pessoal, RH, Diretoria;1395491,24;1279297,78;-0,083263482;1131988,6;0,130133095
Despesas com Risco de Crédito;529632,8017;522594,18;-0,013289626;296391,22;0,763190489
Despesas Administrativas;111460;97795,86;-0,12259232;97690,58;0,001077688
Despesas Financeiras;22307,3;15741,76;-0,294322486;16250,7;-0,031318036
Despesas com Jurídico;51500;40438,63;-0,214783883;12018,72;2,364637
Depreciação;203750;194021,49;-0,047747288;189606,22;0,023286525
Despesas com TI Negocios;201785,4;163583,02;-0,189321824;137903,47;0,186213951
Despesas com EO-TI;34930,65;24172,34;-0,307990547;22220,96;0,087817088
Despesas com Marketing;49375;26083,92;-0,471718076;33222,86;-0,214880356
Despesas com Sede;170777,0725;101119,95;-0,407883339;156481,9;-0,353791397
Resultado antes do Juros ao Capital;3817860,384;4155489,14;0,088434024;3562334,55;0,166507267
Juros ao Capital;2826266,217;2727113,81;-0,035082473;3091957,74;-0,117997709
Sobras Bruta ;991594,1675;1428375,33;0,440483796;470376,81;2,036661884
Fundo de Reserva (10%);99159,41675;142837,533;0,440483796;47037,681;2,036661884
Fates (5%);49579,70837;71418,7665;0,440483796;23518,8405;2,036661884
