Receitas com Empréstimo;1794176,25;1693331,65;-0,05620663;1659002,57;0,020692602
Receitas com aplicações;381355,6212;449613,01;0,178986188;440045,93;0,021741094
Outras Receitas Operacionais;75000;216432,1;1,885761333;320542,29;-0,32479393
Despesas com Pessoal, RH, Diretoria;530336,1358;475971,03;-0,102510657;434932,68;0,094355637
Despesas com Risco de Crédito;193965;502769,82;1,592064651;299234,8;0,680184992
Despesas Administrativas;56924;54459,34;-0,043297379;31140,9;0,748804306
Despesas Financeiras;6000;4480,24;-0,253293333;3591,98;0,247289796
Despesas com Jurídico;20416,66667;18033,78;-0,116712816;8000;1,2542225
Depreciação;71283,92667;65897,75;-0,075559483;64609,75;0,019935072
Despesas com TI Negocios;73871,74167;48721,87;-0,340453211;50582,7;-0,036787874
Despesas com EO;11599,39167;10263,03;-0,115209634;8347,88;0,229417529
Despesas com Marketing;12716,66667;8803,74;-0,307700655;11842,52;-0,256599102
Despesas com Sede;60000;37148,29;-0,380861833;31216,66;0,190014883
Resultado antes do Juros ao Capital;1213418,342;1132827,87;-0,066416065;1476090,92;-0,232548717
Juros ao Capital;967088,6977;1091274,49;0,128411998;1027567,66;0,061997699
Sobras Bruta ;246329,6444;41553,38;-0,831309869;448523,26;-0,907355128
Fundo de Reserva (10%);24632,96444;4155,338;-0,831309869;44852,326;-0,907355128
Fates (5%);12316,48222;2077,669;-0,831309869;22426,163;-0,907355128
