Receitas com Empréstimo;3490228,333;3241673,74;-0,071214422;2833536,55;0,144038089
Receitas com aplicações;630620,9817;790902,59;0,254164725;492225,35;0,606789634
Outras Receitas Operacionais;158333,34;383398,41;1,42146354;142532,84;1,689895255
Despesas com Pessoal, RH, Diretoria;873158,3067;866608,36;-0,007501442;735626,8;0,178054361
Despesas com Risco de Crédito;343484,118;514201,09;0,497015621;296391,22;0,734872882
Despesas Administrativas;73973,33333;66107,26;-0,106336608;67011,08;-0,01348762
Despesas Financeiras;14871,53333;5149,87;-0,653709548;12866,06;-0,599732164
Despesas com Jurídico;34333,33333;25299,01;-0,263135631;9646,99;1,622477063
Depreciação;135833,3333;129212,23;-0,048744319;126641,35;0,020300478
Despesas com TI Negocios;134523,6;105386,97;-0,216591215;98287,91;0,072227195
Despesas com EO-TI;23287,1;16056,68;-0,310490357;14695,07;0,092657606
Despesas com Marketing;32916,66667;32514,46;-0,012218937;25741,08;0,263135036
Despesas com Sede;129884,715;67354,55;-0,481428203;118077,83;-0,429574968
Resultado antes do Juros ao Capital;2482916,615;2588084,26;0,042356495;1963309,35;0,318225403
Juros ao Capital;1783814,731;1855858,16;0,040387283;2059002,61;-0,09866158
Sobras Bruta ;699101,8848;732226,1;0,047381098;-95693,26;-8,651804317
Fundo de Reserva (10%);69910,18848;73222,61;0,047381098;0;0
Fates (5%);34955,09424;36611,305;0,047381098;0;0
